Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Abreu e Lima,2600054,abreu-limense,FL&Aacute;VIO VIEIRA GADELHA DE ALBUQUERQUE,126.384,98462,779.07,97.2,0.679,10.51,267763170.66,275896879.90,17123.06,
Afogados da Ingazeira,2600104,afogadense,ALESANDRO PALMEIRA DE VASCONCELOS LEITE,377.696,40241,106.54,97.3,0.657,12.99,164164192.79,183129161.50,14430.74,
Afr&acirc;nio,2600203,afraniense,RAFAEL ANTONIO CAVALCANTI,1490.594,18674,12.53,98.7,0.588,12.66,95963172.34,86290079.96,10500.7,
Agrestina,2600302,agrestinense,JOSU&Eacute; MENDES DA SILVA,200.369,23779,118.68,96.4,0.592,5.46,118865783.55,109398597.20,13980.13,
&Aacute;gua Preta,2600401,&aacute;gua-pretense,NOELINO MAGALHAES OLIVEIRA LYRA,531.935,26461,49.74,94,0.553,17.19,117545957.71,118530385.40,6950.9,
&Aacute;guas Belas,2600500,&aacute;guas-belense,LUIZ AROLDO REZENDE DE LIMA,885.988,41548,46.89,96.1,0.526,14.27,162358716.51,168013311.60,9132.13,
Alagoinha,2600609,alagoinhense,UILAS LEAL DA SILVA,214.267,13542,63.20,96.3,0.599,10.87,71644680.42,69771817.48,9794.9,
Alian&ccedil;a,2600708,aliancense,XISTO LOUREN&Ccedil;O DE FREITAS NETO,272.773,35741,131.03,97,0.604,12.9,143528052.08,158905005.00,10761.16,
Altinho,2600807,altinense,ORLANDO JOS&Eacute; DA SILVA,450.178,20674,45.92,96.9,0.598,19.32,80178994.99,82169949.09,9679.46,
Amaraji,2600906,amarajinense,ALINE DE ANDRADE GOUVEIA,233.239,18205,78.05,96.6,0.580,10.83,85805594.05,96413868.79,12850.59,
Angelim,2601003,angelinense,MARCIO DOUGLAS CAVALCANTI DUARTE,118.088,10241,86.72,96.4,0.572,7.94,57643358.93,56553981.93,12588.25,
